year,solidwood,paper,plastics,iron_steel,aluminum,copper,other metals_minerals,concrete,asphalt,bricks,aggregate_downcycled,aggregate_virgin,flat_glass,container_glass,total
1900,4.02188375,0.096790492,0,0.848284,0.000209632,0.005836974,0.029012119,2.30578275,0,11.244334,3.828124,12.934503,0.074626313,0.086702125,35.47608915
1901,4.032629,0.095193922,0,0.891557688,0.000223951,0.006207371,0.030382246,2.366846,0,11.341825,3.91141525,13.097739,0.075210336,0.088081289,35.93731105
1902,4.04427325,0.094998063,0,0.935004875,0.00024359,0.006595435,0.031826471,2.44021975,0,11.442235,3.99475325,13.263999,0.0758485,0.089591078,36.41958826
1903,4.05676675,0.095442234,0,0.978704125,0.000272813,0.007014283,0.033297234,2.52547825,0,11.544904,4.0787165,13.43224,0.076539828,0.091232789,36.92060881
1904,4.0701045,0.096239828,0,1.022592938,0.000291335,0.007485239,0.034856102,2.62243725,0,11.649113,4.1630095,13.599477,0.077286883,0.093013625,37.4359072
1905,4.08426375,0.09718925,0,1.076625,0.000314438,0.007997825,0.03655266,2.73099775,0,11.756386,4.247404,13.776082,0.078089242,0.094921156,37.98682307
1906,4.099226,0.098153516,0,1.12237775,0.000345079,0.008511678,0.038678355,2.85089675,0,11.864689,4.3319235,13.950885,0.078952547,0.096909391,38.54154857
1907,4.115079,0.099201109,0,1.185603625,0.000388132,0.009011847,0.040942563,2.98157625,0,11.976395,4.4168605,14.12985,0.079872156,0.098972945,39.13375313
1908,4.1317455,0.100269906,0,1.235303125,0.00042605,0.009524514,0.043026727,3.12305425,0,12.08934,4.5022275,14.307045,0.080851461,0.101099672,39.7239137
1909,4.1491255,0.101378406,0,1.293323,0.000469634,0.010107225,0.04510182,3.27518525,0,12.203649,4.5877725,14.48718,0.081892102,0.103297852,40.33848229
1910,4.167502,0.102495391,0,1.3591935,0.000527947,0.01070506,0.047302949,3.437769,0,12.32051,4.673517,14.665871,0.082995477,0.105581773,40.9739711
1911,4.1867325,0.103575219,0,1.420183875,0.000598788,0.011322373,0.049418574,3.6106135,0,12.440326,4.7595985,14.85042,0.084157141,0.107941453,41.62488792
1912,4.206839,0.1047895,0,1.489901125,0.000671108,0.012032904,0.05180018,3.79327625,0,12.560764,4.8458065,15.032308,0.085382906,0.110370445,42.29394192
1913,4.2280745,0.105871695,0,1.57240225,0.000762253,0.012721166,0.054811074,3.98590675,0,12.684627,4.932846,15.206482,0.086672031,0.112891117,42.98406784
1914,4.2502125,0.106956828,0,1.625063375,0.000796363,0.013324778,0.057287789,4.150881,0,12.809431,5.0201315,15.403174,0.088018836,0.115475563,43.64075353
1915,4.273426,0.108115547,0,1.676371,0.000845594,0.01403628,0.059371965,4.288732,0,12.932057,5.1073085,15.582977,0.089409766,0.118133375,44.25078403
1916,4.2980015,0.109230539,0,1.73892325,0.000964646,0.015095045,0.062019383,4.400337,0,13.053898,5.19498,15.761616,0.090852758,0.120822953,44.84674107
1917,4.3238805,0.110365984,0,1.802591,0.00114385,0.016135958,0.064725391,4.4859495,0,13.175499,5.283395,15.938746,0.092340602,0.123572133,45.41834492
1918,4.3513855,0.111491008,0,1.858539375,0.001282162,0.017158119,0.066979531,4.5460735,0,13.295914,5.3715835,16.123297,0.093869438,0.126346297,45.96391943
1919,4.38029,0.112556188,0,1.905598625,0.001372616,0.017713545,0.068480313,4.58153,0,13.413145,5.460906,16.300979,0.0954305,0.129119219,46.467121
1920,4.410701,0.113732641,0,1.959392125,0.001522739,0.018195008,0.070434711,4.6641215,0,13.530146,5.5499945,16.478073,0.09704432,0.131973797,47.02533134
1921,4.4428435,0.114968438,0,1.987409125,0.001562144,0.018226551,0.071647648,4.7416645,0.001384713,13.647663,5.637484,16.659932,0.098717344,0.134946797,47.55844976
1922,4.476568,0.116065734,0,2.030547625,0.00167026,0.018578078,0.073408594,4.8956835,0.004150477,13.766942,5.7234165,16.852244,0.100453969,0.138026938,48.19775567
1923,4.5121625,0.117066391,0,2.08915275,0.001868485,0.019307389,0.075580953,5.04976,0.009690309,13.887705,5.8078505,17.053214,0.102257063,0.141233219,48.86684856
1924,4.549244,0.118217398,0,2.144404,0.002055665,0.020098996,0.078106773,5.265249,0.017989992,14.012858,5.890635,17.264578,0.10413657,0.144591563,49.61216496
1925,4.5879745,0.119314422,0,2.20964775,0.002280345,0.021034471,0.081436039,5.539004,0.029050877,14.140538,5.971662,17.483368,0.106091852,0.148065141,50.4394674
1926,4.6284415,0.120434313,0,2.2764155,0.002500701,0.021934283,0.085168695,5.8469065,0.042879859,14.27048,6.0513875,17.72862,0.10812425,0.15164,51.3349331
1927,4.670139,0.121501188,0,2.35070225,0.002809976,0.022813762,0.089118898,6.184708,0.059483109,14.403776,6.1289285,17.98586,0.1102355,0.155288938,52.28536512
