year,solidwood,paper,plastics,iron_steel,aluminum,copper,other metals_minerals,concrete,asphalt,bricks,aggregate_downcycled,aggregate_virgin,flat_glass,container_glass,total
1900,0.129998938,0.050600902,0,0.00947233,5.14086E-06,0.000147168,0.000536674,0.045426496,0,0.318070781,0.032434199,0.170468672,0.001208219,0.001795026,0.760164546
1901,0.130843984,0.04836668,0,0.009889498,5.40565E-06,0.000157903,0.000558752,0.046408102,0,0.320704531,0.033909266,0.173152719,0.001213276,0.001809886,0.767020002
1902,0.131700813,0.047555773,0,0.010314688,5.67824E-06,0.000168985,0.000582486,0.047634129,0,0.32335875,0.035406488,0.175807125,0.001218253,0.00182488,0.775578048
1903,0.132567109,0.047463473,0,0.010747097,5.9532E-06,0.000180201,0.000608192,0.049112453,0,0.326049031,0.036925367,0.17844125,0.001223087,0.001840108,0.785163321
1904,0.133441031,0.047643309,0,0.011185962,6.22704E-06,0.00019127,0.000635992,0.050828063,0,0.328759281,0.038462273,0.181047328,0.001227759,0.001848267,0.795276762
1905,0.134317391,0.048096398,0,0.011630446,6.49821E-06,0.000202075,0.000665804,0.052779914,0,0.331493406,0.040016348,0.183641578,0.001232273,0.001873652,0.805955784
1906,0.135195719,0.048584488,0,0.012080021,6.7671E-06,0.000212783,0.000697352,0.054963887,0,0.334256625,0.041583441,0.186224344,0.00123667,0.001946764,0.81698886
1907,0.136068531,0.04906766,0,0.012534215,7.03626E-06,0.000223781,0.000730248,0.057377816,0,0.337038656,0.043163691,0.188790422,0.001241013,0.002032095,0.828275165
1908,0.13693025,0.049642047,0,0.012992811,7.31089E-06,0.000235555,0.000764068,0.06001141,0,0.339834719,0.044754117,0.191359875,0.001245381,0.002134383,0.839911926
1909,0.137775016,0.050179914,0,0.013456285,7.59926E-06,0.000248654,0.000798476,0.062861555,0,0.342672219,0.04635373,0.193926672,0.001249859,0.002219412,0.85174939
