year,crop_residues,wood_furniture,wood_construction,iron,other_metals,nonmetallic_con,nonmetallic_indus,total
1950,17342.82957,16371.94169,142472.2445,5029.454762,4834.171269,1232365.024,31128.87031,1449544.536
1951,17342.82957,16058.78972,139747.1271,4933.254586,4741.70635,1208793.139,30533.4573,1422150.303
1952,17670.79079,16362.46912,142389.8121,5026.544792,4831.374287,1231651.996,31110.8596,1449043.846
1953,18013.79609,16680.07878,145153.7213,5124.114366,4925.155433,1255559.424,31714.74824,1477171.038
1954,18374.8543,17014.40472,148063.0994,5226.81918,5023.872429,1280725.138,32350.42049,1506778.609
1955,18753.96543,17365.44697,151117.9464,5334.659235,5127.525274,1307149.138,33017.87636,1537866.558
1956,19148.12065,17730.41946,154294.0175,5446.778658,5235.291327,1334621.71,33711.81857,1570188.156
1957,19557.31996,18109.32221,157591.3126,5563.177447,5347.170589,1363142.852,34432.24713,1603743.402
1958,19978.55454,18499.36914,160985.587,5682.999731,5462.340417,1392502.852,35173.86476,1638285.568
1959,20408.81558,18897.77423,164452.5959,5805.389635,5579.97817,1422491.995,35931.37419,1673567.923
1960,20848.10307,19304.53747,167992.3392,5930.347159,5700.083848,1453110.281,36704.77544,1709590.467
1961,21293.40821,19716.87281,171580.5722,6057.01643,5821.834809,1484147.995,37488.77122,1746106.471
1962,21747.73979,20137.56629,175241.5396,6186.253321,5946.053695,1515814.852,38288.6588,1783362.663
1963,22208.08902,20563.83188,178950.9967,6317.20196,6071.917864,1547901.137,39099.14093,1821112.316
1964,22677.4647,20998.45561,182733.1882,6450.718218,6200.249958,1580616.566,39925.51486,1859602.157
1965,23155.86683,21441.43749,186588.1141,6586.802098,6331.049977,1613961.137,40767.7806,1898832.188
1966,23643.29542,21892.77752,190515.7745,6725.453597,6464.317921,1647934.851,41625.93814,1938802.409
1967,24139.75046,22352.4757,194516.1694,6866.672717,6600.05379,1682537.708,42499.98749,1979512.818
1968,24645.23196,22820.53203,198589.2987,7010.459457,6738.257584,1717769.708,43389.92865,2020963.417
1969,25159.73992,23296.9465,202735.1625,7156.813818,6878.929302,1753630.851,44295.76161,2063154.205
1970,25683.27433,23781.71913,206953.7607,7305.735798,7022.068946,1790121.137,45217.48638,2106085.182
1971,26215.8352,24274.8499,211245.0933,7457.2254,7167.676514,1827240.565,46155.10296,2149756.348
1972,26763.44016,24781.91093,215657.6501,7612.994368,7317.39729,1865408.565,47119.20587,2194661.164
1973,27329.09803,25305.68824,220215.6758,7773.898577,7472.053917,1904834.851,48115.09241,2241046.357
1974,27921.83526,25854.54001,224991.9048,7942.505648,7634.114318,1946148.565,49158.65436,2289652.119
1975,28370.14921,26269.6614,228604.3826,8070.030792,7756.68792,1977395.993,49947.94741,2326414.852
1976,28719.17215,26592.84315,231416.7814,8169.312113,7852.114349,2001722.85,50562.43059,2355035.504
1977,28980.93936,26835.22946,233526.0805,8243.773103,7923.684171,2019967.993,51023.29297,2376500.993
1978,29257.75066,27091.54602,235756.6037,8322.513461,7999.367201,2039261.707,51510.6417,2399200.13
1979,29513.50023,27328.36023,237817.4131,8395.262705,8069.291739,2057087.421,51960.90955,2420172.159
1980,29781.28507,27576.31864,239975.2019,8471.435442,8142.506844,2075751.993,52432.36647,2442131.107
1981,30211.54611,27974.72373,243442.2108,8593.825346,8260.144597,2105741.136,53189.87591,2477413.462
1982,30819.32743,28537.50575,248339.6639,8766.711783,8426.318206,2148103.421,54259.9242,2527252.872
1983,31541.44386,29206.15764,254158.42,8972.121412,8623.752197,2198434.85,55531.26871,2586468.013
1984,32281.6132,29891.52584,260122.6451,9182.666282,8826.122038,2250024.564,56834.39683,2647163.533
1985,33084.96773,30635.40107,266596.0113,9411.184494,9045.767353,2306018.278,58248.7676,2713040.377
1986,33963.54272,31448.92755,273675.498,9661.099542,9285.978709,2367254.849,59795.57009,2785085.466
1987,34935.39108,32348.82156,281506.574,9937.546668,9551.691955,2434992.563,61506.5879,2864779.176
1988,35934.31881,33273.79001,289555.8533,10221.69665,9824.808976,2504617.706,63265.28114,2946693.455
1989,38444.79541,37380.9564,358188.9296,18013.42714,8002.67005,2004293.642,58861.99885,2523186.419
1990,42454.7856,44659.17652,487308.8235,33309.31462,4081.98461,933181.5151,48275.55196,1593271.152
1991,34363.0188,37128.50261,355767.4974,13730.12072,4397.804183,1858389.304,19234.73893,2323010.986
1992,45026.7696,13285.04246,155948.8775,10559.04764,7053.95913,2333131.107,10847.25303,2575852.057
1993,36311.4732,36529.75963,334798.2404,3068.37938,11674.47296,3385749.123,69768.74688,3877900.195
1994,45295.5348,34287.15476,260688.8452,2815.94948,19029.08507,3748460.072,67535.60695,4178112.248
1995,41150.4348,61712.88083,363887.1192,3321.7771,22543.15878,5164293.359,229916.9125,5886825.642
1996,43605.78,40041.87213,235798.1279,2877.76844,23519.07659,5421241.56,391285.2249,6158369.41
1997,52646.472,43584.3065,317887.6935,2240.277,22570.95164,5783916.874,411885.9007,6634732.476
1998,57045.36,35622.04725,304089.9528,2075.27702,19930.59285,5953881.841,421256.508,6793901.578
1999,69835.752,62919.63189,447480.3681,2301.59872,22192.27983,5771228.696,426256.1651,6802214.492
2000,75864.24,22762.45511,168597.5449,437.95622,31792.76324,6748770.374,432387.3826,7480612.717
2001,77777.196,28951.64244,237288.3576,2250.60434,39508.6262,8628134.838,443529.7525,9457441.017
2002,82579.5696,25599.72321,264320.2768,2234.81914,39901.67132,9152815.988,449706.204,10017158.25
2003,85545.882,18973.92717,208226.0728,9153.53988,45720.27325,8792726.013,436403.538,9596749.246
2004,90847.272,18514.37457,166445.6254,6288.95946,60519.16666,9520808.854,676674.7602,10540099.01
2005,99059.472,19803.59044,184996.4096,1253.43788,78419.246,43637025.33,672198.099,44692755.58
2006,104807.34,25297.03638,215342.9636,81.49776,93082.74013,23655498.41,895200.6032,24989310.59
2007,117748.158,24161.65783,203678.3422,852.29292,103140.6818,26050166.15,851740.6383,27351487.92
2008,143941.908,27896.71157,202642.8084,9773.212397,155012.6354,16763425.99,907259.0368,18209952.3
2009,143260.344,23697.4722,208152.7678,20900.37505,154816.1872,17850965.55,1047257.09,19449049.78
2010,150206.6508,75839.91295,452330.327,25053.85612,166347.2445,28622698.31,1249320.49,30741796.8
2011,158319.576,138716.1362,631374.1038,24542.20605,243378.8493,26736606.82,1518739.518,29451677.21
2012,169230.054,133031.9156,642818.3244,189835.8539,332092.7685,37865610.74,2075293.127,41407912.78
2013,165663.18,238028.1401,932791.0599,966139.5969,452799.674,41100721.94,2159828.192,46015971.79
2014,209362.406,278762.376,964322.424,1318970.945,449032.4879,49793389.94,2381155.148,55394995.73
2015,215656.0964,266392.9654,924211.8346,327383.8114,398635.2313,39207138.33,2045327.587,43384745.86
