year,crop_residues,wood_furniture,wood_construction,iron,other_metals,nonmetallic_con,nonmetallic_indus,total
1950,17342.82957,16371.94169,142472.2445,5029.454762,4834.171269,1232365.024,31128.87031,1449544.536
1951,34685.65909,32430.73141,282219.3716,9962.70028,9411.55196,2441158.163,61662.18862,2871530.366
1952,52323.53223,48793.20054,424609.1837,14987.14293,13523.91773,3672810.159,92594.85969,4319641.996
1953,68346.33211,65473.27865,569762.9051,20086.78317,17100.46404,4928369.583,121844.2009,5790983.547
1954,78049.14913,82486.45389,717826.0045,25212.10222,20199.52255,6209094.721,145864.5804,7278732.534
1955,82469.18959,99768.77008,868943.9508,30290.13208,22904.3791,7516243.86,163428.9401,8784049.222
1956,84854.40553,116554.0588,1023237.968,35245.92916,25292.38603,8850865.569,175672.6068,10311722.92
1957,86753.45594,130871.5966,1180829.281,40019.25367,27428.62427,10214008.42,184378.9739,11864289.61
1958,88601.42464,141238.6397,1341814.868,44569.77705,29365.00621,11606511.24,191013.4302,13443114.39
1959,90488.07481,148082.7905,1506267.464,48876.49205,31142.09031,13029002.92,196533.9632,15050393.8
1960,92425.37463,152820.3489,1674259.802,52934.86642,32792.02109,14482110.98,201501.4738,16688844.87
1961,94407.76349,156627.879,1845840.368,56751.49454,34339.57188,15966247.5,206218.3827,18360432.96
1962,96431.60453,160134.6575,2021081.877,60341.69666,35805.27231,17482015.99,210847.1766,20066658.28
1963,98491.95438,163594.9997,2200032.741,63724.51037,37204.9176,19029763.71,215466.8122,21808279.64
1964,100588.505,167094.964,2382765.46,66921.97256,38552.04415,20609948.6,220121.1605,23585992.71
1965,102722.259,170658.0074,2569352.133,69956.5862,39857.77982,22222848.16,224833.8052,25400228.73
1966,104894.4976,174288.6042,2759864,72850.23179,41131.2931,23868450.72,229618.1533,27251097.5
1967,107106.7658,177986.914,2954370.636,75623.51189,42380.16345,25546330.58,234482.4612,29138281.03
1968,109360.1447,181752.9485,3152938.698,78295.39713,43610.68528,27255525.11,239431.9729,31060914.96
1969,111655.0505,185587.3113,3355630.129,80883.07485,44828.11165,28994435.42,244469.9237,33017489.02
1970,113991.5944,189491.0409,3562499.815,83401.93003,46036.84827,30760770,249598.2236,35005789.45
1971,116369.8009,193465.2561,3773592.723,85865.60919,47240.60791,32551544.68,254817.9614,37022896.64
1972,118795.6924,197516.3823,3988989.167,88287.84463,48444.17917,34363562.36,260140.3388,39065735.96
1973,121278.2962,201653.2647,4208777.174,90681.73618,49652.64692,36193319.03,265581.5827,41130943.73
1974,123835.6541,205892.8407,4433097.681,93061.60924,50872.95561,38037582.3,271173.6002,43215516.65
1975,126313.6196,210093.1062,4660686.926,95391.80151,52064.43775,39880994.08,276645.4619,45302189.43
1976,128600.5041,214153.7911,4890619.779,97648.40233,53199.49763,41711363.85,281803.1626,47377388.99
1977,130592.8499,217985.722,5122041.607,99809.94122,54258.00436,43517547.27,286470.9668,49428706.36
1978,132303.5388,221594.1363,5354895.159,101883.305,55251.73764,45295900.72,290668.7178,51452497.31
1979,133766.7574,224949.6864,5588805.918,103864.8779,56184.63628,47040765.94,294397.9163,53442735.74
1980,135085.1373,228052.0446,5823641.388,105760.8528,57069.09204,48749388.19,297765.8195,55396762.53
1981,136503.0252,231044.8071,6060459.269,107621.0642,57957.58759,50430151.82,301164.4522,57324902.02
1982,138240.6358,234107.2583,6300419.896,109500.5964,58903.70663,52093164.05,305000.0637,59239336.21
1983,140429.8631,237391.4601,6544159.964,111437.366,59937.23742,53744791.93,309540.7812,61147688.61
1984,143074.3967,240978.9301,6791530.368,113442.2265,61054.91652,55385319.24,314838.4824,63050238.56
1985,146153.7641,244987.8766,7042740.446,115538.3622,62262.10609,57018747.38,320950.0261,64951379.96
1986,149608.4018,249527.8707,7298096.042,117750.9167,63566.80956,58650419.82,327880.1396,66856850
1987,153406.3573,254698.2898,7558052.575,120108.0139,64981.41098,60287365.27,335631.1092,68774243.03
1988,157494.4092,260497.7199,7822540.427,122616.5471,66499.17965,61932347.2,344094.8602,70706090.35
1989,163322.7403,270036.4046,8151867.711,132780.9471,66009.90136,63016564.25,346969.6791,72147551.64
1990,172322.7616,286386.0672,8606260.944,158100.0423,61472.20503,62970576.73,337940.0745,72593058.82
1991,172316.3655,294641.252,8924816.638,163688.3692,57423.64326,63792190.09,298459.5969,73703535.95
1992,181832.448,278409.851,9039035.302,165908.7229,56568.89081,65032507.44,249560.703,75003823.35
1993,180739.1957,284711.8179,9327384.219,160297.1049,60821.48173,67271014.49,260200.6661,77545168.97
1994,186991.3661,287978.6996,9536726.305,153881.2979,72472.36848,69819421.29,273007.9692,80330479.29
1995,189355.2018,317637.2666,9844213.623,147290.1119,86924.82205,73732451.29,456776.8293,84774649.15
1996,193035.7931,323898.6779,10018425.93,139613.1574,100802.4414,77852788.14,808214.6655,89436778.81
1997,205541.6746,331404.4385,10269430.97,130853.143,111786.0544,82287683.55,1177414.832,94514114.67
1998,221135.398,330240.0957,10501252.01,121756.2309,118256.5251,86845898.04,1536293.296,99674831.6
1999,248723.5833,358878.4448,10871008.15,112984.7213,125533.7013,91176221.18,1850481.485,104743831.3
2000,280774.2391,350056.7595,10956376.25,102673.3021,141391.431,96440182.81,2096092.09,110367546.9
2001,310214.1526,346472.7532,11104897.88,94663.72672,163716.0245,103540861.4,2276541.467,117837367.4
2002,338141.7603,334714.4194,11274898.36,87235.41305,184258.7128,111124752.1,2402101.329,125746102.1
2003,360751.6741,311525.408,11383250.49,87384.92061,207774.8066,118308203,2471786.947,133130677.3
2004,381057.9634,286148.0851,11444279.86,85355.91083,243126.6949,126180482.5,2753458.187,141373909.2
2005,404437.7812,262152.9448,11518340.43,78968.13103,292810.4048,168130841,3011414.089,183698964.8
2006,429460.7608,243452.0231,11617259.44,72024.31048,352083.4415,190062705.9,3478499.139,206255485
2007,463537.3054,225159.3213,11699063.52,66353.7463,414572.333,214353485.4,3877977.151,231100148.7
2008,519102.1899,215175.4819,11774423.37,69991.17151,520857.6042,229322938.2,4283908.334,246706396.3
2009,567843.6449,206452.4202,11849927.45,85077.68963,616903.4305,245346274.4,4758304.315,263430783.3
2010,616303.2827,254726.858,12164285.34,104625.1586,711132.2351,272108089.4,5350007.522,291309169.8
2011,661779.5378,369671.1393,12652402.3,123944.4281,868997.8735,296950061,6132445.62,317759301.9
2012,702854.4901,481071.068,13146713.58,308716.1987,1100389.216,332885476.7,7398143.949,356023365.2
2013,729364.6125,697667.675,13925777.5,1269683.02,1429725.867,372016927.9,8661369.389,398730516
2014,792245.7355,953901.777,14731177.54,2582943.131,1721768.199,419796400.3,10023898.82,450602335.5
2015,853864.4282,1196116.863,15491292.39,2902729.381,1921329.786,456937066.1,10867553.38,490169952.3
