year,crop_residues,wood_furniture,wood_construction,iron,other_metals,nonmetallic_con,nonmetallic_indus,total
1950,0,0,0,0,0,0,0,0
1951,6.13E-05,0,0,0.00906722,164.3256586,0,0.13898756,164.4737747
1952,32.91764567,2.80E-10,0,2.102145536,719.0085184,0,178.1885245,932.2168341
1953,1990.996213,0.000666148,0,24.47412469,1348.609122,0,2465.407063,5829.487189
1954,8672.037277,1.229479026,0,101.500124,1924.813924,6.98E-10,8330.040927,19029.62173
1955,14333.92498,83.13078516,2.91E-11,256.629377,2422.668715,3.83E-07,15453.51666,32549.87051
1956,16762.90471,945.1307078,4.39E-09,490.9815785,2847.284402,4.29E-05,21468.15193,42514.45337
1957,17658.26955,3791.784455,2.44E-07,789.8529408,3210.932348,0.001638312,25725.87996,51176.72089
1958,18130.58584,8132.326012,6.26E-06,1132.476345,3525.95848,0.029717523,28539.40853,59460.78493
1959,18522.16541,12053.62341,9.13E-05,1498.674636,3802.894071,0.314544666,30410.84114,66288.51331
1960,18910.80325,14566.97912,0.000869366,1871.972792,4050.153061,2.221661128,31737.26485,71139.3956
1961,19311.01934,15909.34266,0.005940324,2240.388312,4274.284024,11.48118037,32771.8623,74518.38376
1962,19723.89876,16630.78781,0.031177633,2596.051193,4480.353261,46.35428649,33659.86497,77137.34146
1963,20147.73917,17103.48966,0.132137522,2934.388252,4672.272576,153.4254091,34479.50526,79490.95246
1964,20580.91408,17498.49139,0.469650342,3253.256025,4853.123407,431.6679296,35271.16656,81889.08904
1965,21022.11279,17878.39401,1.441307593,3552.188463,5025.31431,1061.578246,36055.13596,84596.16509
1966,21471.05683,18262.18079,3.907747892,3831.808007,5190.804638,2332.29422,36841.59002,87933.64225
1967,21927.48232,18654.16585,9.532995384,4093.392616,5351.183439,4657.850819,37635.67961,92329.28765
1968,22391.85299,19054.49753,21.23704878,4338.574216,5507.735753,8575.172157,38440.41694,98329.48664
1969,22864.83416,19462.58374,43.73068265,4569.136097,5661.502927,14720.54779,39257.81081,106580.1462
1970,23346.73041,19877.98951,84.07457763,4786.880618,5813.332331,23786.55779,40089.18647,117784.7517
1971,23837.62872,20300.63467,152.1854497,4993.546241,5963.916869,36465.8783,40935.36516,132649.1554
1972,24337.54868,20730.78475,261.2064053,5190.758925,6113.826031,53390.8895,41796.82845,151821.8427
1973,24846.4942,21168.80587,427.6689243,5380.007027,6263.586173,75078.17876,42673.84855,175838.5895
1974,25364.47743,21614.96398,671.3972884,5562.632588,6413.805623,101885.2898,43566.63679,205079.2035
1975,25892.18363,22069.39592,1015.137767,5739.838528,6565.205781,133984.2209,44476.08578,239742.0683
1976,26432.28766,22532.15822,1483.928211,5912.711291,6717.054472,171353.0745,45404.72989,279835.9442
1977,26988.5936,23003.29862,2104.253201,6082.234218,6865.177443,213784.574,46355.48878,325183.6198
1978,27547.06176,23483.13172,2903.051469,6249.149719,7005.633913,260908.262,47312.89069,375409.1813
1979,28050.28161,23972.81011,3906.653905,6413.689788,7136.393107,312222.1945,48231.71097,429933.734
1980,28462.90517,24473.96046,5139.732023,6575.460505,7258.051081,367129.7421,49064.46331,488104.3147
1981,28793.65822,24981.96124,6624.329665,6733.613974,7371.649044,424977.514,49791.2432,549273.9694
1982,29081.71682,25475.05449,8379.037295,6887.179553,7480.199167,485091.1885,50424.31269,612818.6885
1983,29352.21659,25921.95589,10418.35113,7035.351855,7590.221415,546806.9636,50990.55123,678115.6117
1984,29637.07962,26304.05584,12752.24102,7177.80573,7708.442929,609497.2626,51536.6956,744613.5833
1985,30005.60029,26626.45451,15385.93357,7315.048815,7838.577783,672590.1342,52137.2239,811898.9731
1986,30508.90505,26908.93343,18319.90181,7448.54508,7981.275243,735582.4107,52865.45662,879615.428
1987,31137.43557,27178.40251,21550.04102,7580.449471,8137.090532,798047.1074,53755.61827,947386.1448
1988,31846.26694,27474.35991,25068.00169,7713.1634,8307.040313,859635.7737,54801.53013,1014846.136
1989,32616.46431,27842.27171,28861.64581,7849.027103,8491.948333,920076.5929,55987.17998,1081725.13
1990,33454.76421,28309.5139,32915.59039,7990.219446,8619.68094,979169.0428,57305.15659,1147763.968
1991,34369.41492,28873.31777,37211.80277,8141.793864,8446.365959,1036775.944,58715.2165,1212533.855
1992,35510.68714,29516.44347,41730.21427,8338.693918,7908.711581,1092813.757,59746.1469,1275564.654
1993,37404.72546,30227.79279,46449.32268,8679.997386,7421.882032,1147242.072,59128.78384,1336554.576
1994,39043.36442,31020.27304,51346.75919,9231.756513,7378.198315,1200053.272,54728.30377,1392801.927
1995,38786.59911,32054.31386,56399.80119,9912.963026,8090.705217,1251263.351,46148.05248,1442655.786
1996,39925.18869,33780.46081,61585.81911,10554.72302,9641.457256,1300904.71,39847.38872,1496239.747
1997,40140.59048,36078.54585,66882.65196,11000.29137,11587.33863,1349021.466,42685.73466,1557396.619
1998,41451.63664,36786.39011,72268.91283,11172.18915,13460.12211,1395667.351,62378.04355,1633184.646
1999,42247.56665,34281.28274,77724.23091,11073.10829,14915.10368,1440905.555,112067.9759,1733214.823
2000,43813.58428,31584.14039,83229.44095,10749.37543,15935.03351,1484808.749,186776.7775,1856897.101
2001,48337.28252,32535.64879,88766.73523,10260.1797,17184.03268,1527456.27,263080.3764,1987620.526
2002,54651.96187,37358.05696,94319.79713,9663.132806,19358.9831,1568925.269,324146.3411,2108423.542
2003,62935.96817,42162.93865,99873.93808,9004.032325,22204.17944,1609275.069,366717.9208,2212174.046
2004,70540.98266,43891.69742,105416.258,8317.969241,25167.27836,1648529.379,395003.5194,2296867.084
2005,75679.65429,43798.73077,110935.8381,7641.217681,28735.53609,1686666.873,414242.1976,2367700.047
2006,79784.36031,43997.95805,116423.9532,7025.318304,33809.70337,1723633.481,428115.5534,2432790.327
2007,83671.61343,42454.35959,121874.267,6522.857103,40651.79035,1759386.691,452262.6261,2506824.205
2008,88377.02354,37880.551,127282.9535,6135.787186,48727.3642,1793973.198,501327.8532,2603704.73
2009,94518.88896,32420.53393,132648.6855,5813.856924,58770.36099,1827629.304,572861.1094,2724662.74
2010,101747.013,27565.47511,137972.4441,5506.387143,72118.43985,1860883.296,657617.2833,2863410.338
2011,112843.3209,23771.85499,143257.1369,5222.936569,85513.21086,1894635.275,736301.4192,3001545.154
2012,128155.1017,21631.98692,148507.0439,5064.083285,100701.4259,1930195.016,809594.7989,3143849.456
2013,139153.0576,21431.53308,153727.144,5172.775177,123463.0229,1969270.733,896602.7512,3308821.017
2014,146481.283,22528.27392,158922.3874,5710.834601,156990.156,2013917.505,1018625.715,3523176.156
2015,154037.4037,24177.87926,164096.9766,7597.561147,199073.6442,2066472.57,1201673.027,3817129.062
