province,district,sumArea,sumPop,sumStock,stockPerCap, stockPerArea , popDens 
Attapeu,Phouvong,3390.48999,14202,2140056.09,150.6869518,631,4.19
Attapeu,Samakkhixay,492.2579956,36437,9239757.184,253.5817214,18770,74.02
Attapeu,Sanmxay,700.0020142,29509,4579320,155.1838422,6542,42.16
Attapeu,Sanxay,2840.820068,21551,422228.3672,19.59205453,149,7.59
Bokeo,Huoixai,1729.569946,70170,5958658.535,84.91746523,3445,40.57
Bokeo,Meung,1601.160034,14506,0,0,0,9.06
Bokeo,Paktha,894.7769775,19182,81571.77344,4.252516601,91,21.44
Bokeo,Pha Oudom,1708.060059,40909,0,0,0,23.95
Bokeo,Thonpheung,882.8989868,8572,6186807.613,721.7461051,7007,9.71
Bolikhamxai,Bolikhanh,2559.52002,49431,1333899.805,26.98508638,521,19.31
Bolikhamxai,Khamkeuth,2623.919922,62557,8412584.848,134.478713,3206,23.84
Bolikhamxai,Pakkading,1960.880005,50140,3157509.297,62.97385913,1610,25.57
Bolikhamxai,Pakxane,601.8870239,45042,6151190.719,136.5656658,10220,74.83
Bolikhamxai,Thaphabath,1522.27002,25612,4909717.605,191.6959865,3225,16.82
Bolikhamxai,Viengthong,3980.159912,29651,1046263.055,35.28592812,263,7.45
Bolikhamxai,Xaychamphone,2135.449951,11258,0,0,0,5.27
Champasack,Bachiangchaeunsook,1481.550049,59181,5675964.449,95.90855932,3831,39.95
Champasack,Champasack,895.2310181,62728,0,0,0,70.07
Champasack,Khong,1947.75,93432,1342711.371,14.37100106,689,47.97
Champasack,Moonlapamok,2315.280029,38774,0,0,0,16.75
Champasack,Pakse,126.5319977,77860,8032951.164,103.1717334,63486,615.34
Champasack,Paksxong,3352.189941,81244,1491579.59,18.3592584,445,24.24
Champasack,Pathoomphone,2422.97998,62059,871651.9336,14.04553624,360,25.61
Champasack,Sanasomboon,901.0089722,68346,4088282.258,59.81743274,4537,75.85
Champasack,Sukhuma,1124.76001,57609,0,0,0,51.22
Houaphan,Add,1026.439941,27001,0,0,0,26.31
Houaphan,Hiem,1407.530029,97609,0,0,0,69.35
Houaphan,Huameuang,2417.149902,32680,0,0,0,13.52
Houaphan,Kuan,1385.680054,26164,0,0,0,18.88
Houaphan,Sopbao,1033.109985,25527,0,0,0,24.71
Houaphan,Viengxay,1535.859985,31952,701257.8945,21.94723005,457,20.8
Houaphan,Xamneua,3158.179932,56924,2550376.914,44.80319222,808,18.02
Houaphan,Xamtay,2378.27002,36958,0,0,0,15.54
Houaphan,Xiengkhor,794.6069946,25715,0,0,0,32.36
Houaphan,Xon,2056.159912,25715,0,0,0,12.51
Khammouan,Bualapha,3251.129883,31657,0,0,0,9.74
Khammouan,Hinboon,1884.969971,49921,1529358.105,30.6355663,811,26.48
Khammouan,Khounkham,1062.48999,22018,901962.3281,40.96477101,849,20.72
Khammouan,Mahaxay,1404.75,36688,1088822.621,29.67789525,775,26.12
Khammouan,Nakay,4404.399902,25344,1863183.223,73.51575216,423,5.75
Khammouan,Nhommalath,1525.410034,32774,4408930.355,134.5252443,2890,21.49
Khammouan,Nongbok,346.6849976,47366,1248647.887,26.36169165,3602,136.63
Khammouan,Thakhek,988.7269897,90464,11988354.9,132.5207254,12125,91.5
Khammouan,Xaybuathong,922.6790161,25965,0,0,0,28.14
Khammouan,Xebangfay,943.6370239,28467,730508.6992,25.66159761,774,30.17
Louangnamtha,Long,2536.060059,34630,639682.625,18.47192102,252,13.66
Louangnamtha,Nalae,1709.660034,22989,0,0,0,13.45
Louangnamtha,Namtha,2079.429932,54089,5816254.688,107.5311928,2797,26.01
Louangnamtha,Sing,1335.800049,39287,1281836.25,32.62749128,960,29.41
Louangnamtha,Viengphoukha,1836.609985,23482,784117.4492,33.39227703,427,12.79
Louangphabang,Chomphet,1333.050049,30076,4592079.77,152.6825299,3445,22.56
Louangphabang,Luangprabang,788.3060303,90313,3989704.992,44.1764197,5061,114.57
Louangphabang,Nambak,1936.030029,68863,1185624.707,17.21715155,612,35.57
Louangphabang,Nan,1441.050049,28130,2327013.262,82.7235429,1615,19.52
Louangphabang,Ngoi,1933.369995,29692,517393.6641,17.42535579,268,15.36
Louangphabang,Pak Xeng,1655.219971,22159,0,0,0,13.39
Louangphabang,Park Ou,883.1539917,25823,0,0,0,29.24
Louangphabang,Phonthong,937.1539917,113302,4314587.301,38.08041606,4604,120.9
Louangphabang,Phonxay,2590.469971,32577,1362741.309,41.83139358,526,12.58
Louangphabang,Phoukhoune,1664.650024,23211,749143.7891,32.27537758,450,13.94
Louangphabang,Viengkham,150.2440033,47083,0,0,0,313.38
Louangphabang,Xieng Ngeun,1595.25,33395,1138956.91,34.10561192,714,20.93
Oudomxai,Beng,1664.699951,37280,0,0,0,22.39
Oudomxai,Hoon,2097.27002,74465,2038232.211,27.3716808,972,35.51
Oudomxai,La,1210.079956,17173,0,0,0,14.19
Oudomxai,Namor,1742.51001,40102,926258.1289,23.09755446,532,23.01
Oudomxai,Nga,1961.27002,30938,0,0,0,15.77
Oudomxai,Pakbeng,1272.449951,29405,277981.1289,9.453532695,218,23.11
Oudomxai,Xay,2130.98999,79535,4164095.516,52.35551035,1954,37.32
Phongsaly,May,2752.090088,26361,160994.9531,6.10731585,58,9.58
Phongsaly,Boon Neua,1183.640015,22285,0,0,0,18.83
Phongsaly,Boontay,1374.390015,24135,0,0,0,17.56
Phongsaly,Khua,1687.689941,26164,41860.18359,1.599915288,25,15.5
Phongsaly,Nhot Ou,3041.27002,30585,0,0,0,10.06
Phongsaly,Phongsaly,2854.540039,23479,1853184.133,78.92943195,649,8.23
Phongsaly,Samphanh,2619.26001,24420,1103876.93,45.20380547,421,9.32
Salavan,Khongxedone,793.4639893,62870,1226143.586,19.50284056,1545,79.23
Salavan,Lakhonepheng,1282.26001,47772,0,0,0,37.26
Salavan,Lao Ngarm,902.4429932,71668,1804742.93,25.18199098,2000,79.42
